Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
dd241506-ed3c-29b8-7961-ef6456c3fbad,1994-02-04,,370-81-5034,S29827203,X48090543X,,Alice,George,Hampton,,,M,black,nonhispanic,F,Perezside DC US,0654 Mayer Rapid Suite 695,East Jordan,Massachusetts,Johnson County,25023,02349,41.566892,-72.593791,60709.39,22995.15,133273
4a62c972-6a76-b340-c1f1-f22f02444f93,2001-06-30,,423-55-4313,S49063012,X88029097X,Mr.,Lee,Matthew,Mueller,,,M,asian,nonhispanic,M,Vasquezfurt GU US,34148 Miranda Shoal,Tinaport,Massachusetts,Townsend County,25021,02760,42.757852,-70.269387,28226.63,42356.47,24256
76345358-d233-a081-9288-6fddac584d88,1983-05-22,,217-96-0403,S40501759,X86532539X,,Sharon,Angela,Whitaker,,Williams,S,black,hispanic,F,East Frank VT US,24809 Michael Parks Apt. 718,Lake Davidfurt,Massachusetts,Wagner County,25023,02302,42.018711,-70.437798,177567.38,7388.2,67209
bfa369da-af49-1963-4c4b-77adc5df93c8,1940-04-14,,861-50-6798,S15743588,X76437889X,Dr.,Edward,Patricia,Kelly,,,M,native,nonhispanic,M,Lake Megantown FL US,1686 Molina Villages Apt. 503,South Christopherton,Massachusetts,Hood County,25010,01512,42.097733,-70.492706,191418.69,65865.21,170466
f223473a-fe17-5270-8628-5c520df06a09,1982-12-30,,579-79-0460,S23630780,X51837005X,Dr.,Andre,Brittany,Parks,,,M,asian,hispanic,M,Sotomouth WV US,8536 Diana Junction Apt. 524,South Carolview,Massachusetts,Smith County,25023,01469,41.816334,-73.302459,188888.35,34037.36,103601
c1df817b-44cf-7a92-d3d0-4418661111cc,2011-11-27,,349-52-5206,S41702197,X35714450X,Mrs.,Barbara,Matthew,Graham,,James,,asian,hispanic,F,Petersonside RI US,35649 Mary Shores Suite 445,Ewingville,Massachusetts,Mclaughlin County,25022,02295,41.733026,-70.847526,214245.41,34954.19,62679
882940ed-7667-7f1e-9336-138646d66d06,1975-09-21,,160-77-9457,S65183082,X22581946X,Ms.,Johnathan,Joshua,Cox,,,S,white,nonhispanic,M,Kylestad PW US,971 Colleen Ford Suite 959,Micheleberg,Massachusetts,Phillips County,25012,01681,41.591874,-70.495485,204398.17,22846.66,112757
df6a865d-d74f-1853-7aed-eea1f08950f0,2015-03-07,,044-67-5384,S79864008,X73118257X,Mrs.,William,Deborah,May,,,,native,hispanic,M,Port Emilyville VI US,71427 Justin Ville Apt. 334,Lake Jasonburgh,Massachusetts,Mendoza County,25014,01636,41.411718,-72.102262,39980.29,41776.13,105158
dce9cb39-ffd7-fb81-24cb-4d60030ae27f,1997-10-12,,402-57-7625,S51255764,X67756463X,,Jimmy,Paul,Giles,,,S,white,hispanic,M,Jenniferborough IA US,955 Parker Burg Apt. 464,Hernandezhaven,Massachusetts,Fisher County,25020,01644,42.313142,-70.419942,237658.15,53515.58,102912
c569dcc0-cfab-4163-b2ef-e45894b5a47b,1987-08-07,,851-07-2330,S62503731,X70365959X,Dr.,Cassie,Brent,Henderson,,Wilson,S,other,nonhispanic,F,Johnborough DE US,749 Sarah Drive Apt. 684,Kristenberg,Massachusetts,Lozano County,25003,02568,42.267259,-73.462781,51072.86,60353.41,153857
052d494b-5020-21b1-50b1-657acffd0cb3,1963-01-28,,245-34-0562,S71406851,X98626346X,Mrs.,Ryan,Amanda,Rodriguez,,,M,asian,hispanic,M,Rodriguezhaven HI US,4076 Skinner Corner,New Samanthahaven,Massachusetts,Gibson County,25022,02616,42.868923,-71.484754,45969.74,69020.38,51268
e01fcab9-2df4-f80f-5bad-91e683499e88,1984-03-06,,563-52-8913,S64395439,X21886207X,Mr.,Sarah,Alan,Kemp,,,S,asian,hispanic,F,Robertberg AK US,89443 Russell Union Suite 810,Debrastad,Massachusetts,Schwartz County,25017,01710,41.312952,-70.537041,71227.23,41628.38,64203
dcbb4187-44e4-e261-8d13-9f8dc473002c,1970-03-27,,044-15-2306,S94798782,X77705017X,,Bradley,Caleb,Martinez,,,M,black,hispanic,M,East Kristin NY US,85360 Justin Port,Haynesburgh,Massachusetts,Holloway County,25017,02538,42.889736,-72.414956,2160.02,78590.03,53543
a9605f20-1288-09b2-6a09-dd92a28bd525,1963-03-18,,783-56-3377,S56479371,X10096795X,Dr.,Adam,Gary,Reynolds,,,M,other,nonhispanic,M,New Michaelport CT US,6550 Ryan Pines Apt. 498,Donaldton,Massachusetts,Hull County,25025,01490,42.517229,-70.993196,148412.48,36057.64,103739
cc4f1bed-dd68-2cb7-b2e1-e791116ab21c,1955-11-22,,724-27-1994,S84660894,X96579210X,Dr.,Tara,Christopher,Stanley,,,S,native,hispanic,F,New Gregorychester GU US,0635 Rogers Roads Suite 733,Port Cliffordfort,Massachusetts,Snyder County,25022,02655,41.41039,-72.148482,183780.2,5586.03,18950
